Algorithm: dynamic_a_star, Bound: 65, Weight: 1.0, Cost: 101.8, Time: 0.58, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 65, Weight: 2.0, Cost: 101.8, Time: 0.56, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 65, Weight: 3.0, Cost: 101.8, Time: 0.53, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 65, Weight: 4.0, Cost: 101.8, Time: 0.49, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 65, Weight: 5.0, Cost: 101.8, Time: 0.49, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 65, Weight: 10.0, Cost: 101.8, Time: 0.48, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 70, Weight: 0.1, Cost: 101.8, Time: 0.65, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 70, Weight: 1.0, Cost: 101.8, Time: 0.61, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 70, Weight: 2.0, Cost: 101.8, Time: 0.6, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 70, Weight: 3.0, Cost: 101.8, Time: 0.52, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 70, Weight: 4.0, Cost: 101.8, Time: 0.5, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 70, Weight: 5.0, Cost: 101.8, Time: 0.49, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 70, Weight: 10.0, Cost: 101.8, Time: 0.56, Success Rate: 1.0
